date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-12,50.3939,50.7191,50.2357,50.5521,13447621,13447621,0.079098,0.157,50.5393,"Feb 12, 14",0
2014-02-13,50.1566,51.0618,50.0599,51.0003,16607191,16607191,0.44822,0.887,50.8132,"Feb 13, 14",0.008866100518079366
2014-02-14,50.8773,51.1761,50.7542,51.1058,13186804,13186804,0.105464,0.207,51.0097,"Feb 14, 14",0.010953056351763807
2014-02-18,50.9915,51.5452,50.8861,51.4046,14992626,14992626,0.298813,0.585,51.3631,"Feb 18, 14",0.016863790030483383
2014-02-19,51.2903,51.4485,50.2884,50.3236,18687923,18687923,-1.081,-2.103,50.757,"Feb 19, 14",-0.0045200891753261275
2014-02-20,50.5609,50.9485,50.3323,50.6048,12463670,12463670,0.281234,0.559,50.65,"Feb 20, 14",0.0010424888382479544
2014-02-21,50.6136,50.8333,50.4203,50.6312,16790791,16790791,0.026367,0.052,50.6178,"Feb 21, 14",0.001564722335966198
2014-02-24,50.64,51.1761,50.6004,51.0003,16211245,16211245,0.369121,0.729,50.9744,"Feb 24, 14",0.008866100518079366
2014-02-25,50.8861,50.9564,50.0248,50.1215,17996128,17996128,-0.878863,-1.723,50.38,"Feb 25, 14",-0.008517944852934011
2014-02-26,50.4203,50.4291,49.4122,49.8754,23674645,23674645,-0.246079,-0.491,49.8524,"Feb 26, 14",-0.013386189693405492
2014-02-27,49.9017,49.9984,49.3393,49.8226,16285365,16285365,-0.05273,-0.106,49.6896,"Feb 27, 14",-0.01443065668884184
2014-02-28,49.7172,50.4906,49.559,49.9369,18599829,18599829,0.11425,0.229,50.0308,"Feb 28, 14",-0.01216962302258465
2014-03-03,49.4799,49.5854,48.9438,49.4008,19150953,19150953,-0.536106,-1.074,49.066,"Mar 3, 14",-0.022774523709203104
2014-03-04,50.0511,50.4115,49.7787,50.3236,17174334,17174334,0.922806,1.868,50.1383,"Mar 4, 14",-0.0045200891753261275
2014-03-05,50.5169,51.2288,50.4115,51.1146,17762232,17762232,0.790973,1.572,51.2542,"Mar 5, 14",0.011127134184336555
2014-03-06,51.4222,51.9279,51.3255,51.7649,19430068,19430068,0.650358,1.272,51.7675,"Mar 6, 14",0.023991090380023665
2014-03-07,52.1604,52.5559,51.9143,52.2044,18615141,18615141,0.439431,0.849,52.2163,"Mar 7, 14",0.032685091222718676
2014-03-10,51.9759,52.2747,51.7342,52.0286,16965386,16965386,-0.175774,-0.337,52.0238,"Mar 10, 14",0.029207490885640643
2014-03-11,52.2219,52.2483,51.0882,51.1409,19436589,19436589,-0.887649,-1.706,51.4365,"Mar 11, 14",0.011647389524866407
2014-03-12,50.7103,50.9388,50.4642,50.9036,17937197,17937197,-0.23729,-0.464,50.7696,"Mar 12, 14",0.0069532225169675315
2014-03-13,50.974,51.2728,50.2621,50.4642,17192490,17192490,-0.439431,-0.863,48.0901,"Mar 13, 14",-0.0017388001685390863
2014-03-14,50.1918,50.5609,49.7611,49.9193,18635842,18635842,-0.544894,-1.08,50.055,"Mar 14, 14",-0.012517778687730146
2014-03-17,50.2797,50.7103,50.139,50.6048,13589185,13589185,0.68551,1.373,50.487,"Mar 17, 14",0.0010424888382479544
2014-03-18,50.8158,51.1146,50.64,51.0267,12554754,12554754,0.421855,0.834,50.8553,"Mar 18, 14",0.00938833401579747
2014-03-19,50.9652,51.7913,50.8773,51.2376,21450652,21450652,0.210927,0.413,49.6249,"Mar 19, 14",0.0135602675259781
2014-03-20,51.2903,53.1623,51.0882,52.8284,33736470,33736470,1.5907,3.105,52.62,"Mar 20, 14",0.04502879207787607
2014-03-21,53.5754,53.7863,52.7317,52.8811,35151970,35151970,0.052731,0.1,51.3313,"Mar 21, 14",0.04607128091612417
2014-03-24,53.0569,53.7775,53.0393,53.6721,25810459,25810459,0.790976,1.496,53.4831,"Mar 24, 14",0.061718504275786706
